row_index,customer_id,timestamp,anomaly_type,anomaly_class,modified_columns,details
28,516500132407.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L3,phase=3; drop=0.114
405,516530107608.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L1,phase=1; drop=0.586
350,516520298457.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L1,phase=1; drop=0.180
90,516500430111.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L3,CURRENT_L3,ACTIVE_POWER_L3,REACTIVE_POWER_L3,APPARENT_POWER_L3",phase=3; residual=0.063
221,516510001827.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.394
323,516520031373.0,2025-05-01 00:00:00,neutral_current_leakage,1,CURRENT_N,multiplier=3.553
407,516530149936.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.562
361,516520352422.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L3,phase=3; drop=0.160
428,516530518618.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L3,phase=3; drop=0.350
385,516520586281.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L1,CURRENT_L1,ACTIVE_POWER_L1,REACTIVE_POWER_L1,APPARENT_POWER_L1",phase=1; residual=0.069
147,516500718521.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L2,CURRENT_L2,ACTIVE_POWER_L2,REACTIVE_POWER_L2,APPARENT_POWER_L2",phase=2; residual=0.020
462,516532235751.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.648
177,516500970285.0,2025-05-01 00:00:00,neutral_current_leakage,1,CURRENT_N,multiplier=2.032
363,516520361602.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.588
307,516510654117.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.680
435,516530609477.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L3,phase=3; drop=0.568
200,516501096033.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.464
343,516520218455.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.396
272,516510316138.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.372
457,516532157628.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.371
419,516530452298.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L1,phase=1; drop=0.168
48,516500218987.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L3,phase=3; drop=0.402
345,516520220925.0,2025-05-01 00:00:00,neutral_current_leakage,1,CURRENT_N,multiplier=3.672
416,516530388969.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.423
320,516520024268.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.450
31,516500141135.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L1,phase=1; drop=0.142
353,516520298806.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.499
446,516530973007.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L3,CURRENT_L3,ACTIVE_POWER_L3,REACTIVE_POWER_L3,APPARENT_POWER_L3",phase=3; residual=0.067
354,516520298814.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.720
36,516500157017.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.687
205,516502003989.0,2025-05-01 00:00:00,meter_defect_drift,1,"VOLTAGE_L1,VOLTAGE_L2,VOLTAGE_L3,CURRENT_L1,CURRENT_L2,CURRENT_L3,POWER_FACTOR_L1,POWER_FACTOR_L2,POWER_FACTOR_L3",factor=1.148
92,516500433279.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L1,phase=1
75,516500370533.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L3,phase=3
257,516510210829.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L1,CURRENT_L1,ACTIVE_POWER_L1,REACTIVE_POWER_L1,APPARENT_POWER_L1",phase=1; residual=0.069
351,516520298465.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L3,CURRENT_L3,ACTIVE_POWER_L3,REACTIVE_POWER_L3,APPARENT_POWER_L3",phase=3; residual=0.051
125,516500620410.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L2,phase=2; drop=0.256
223,516510010027.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L1,CURRENT_L1,ACTIVE_POWER_L1,REACTIVE_POWER_L1,APPARENT_POWER_L1",phase=1; residual=0.019
79,516500376943.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L2,phase=2; drop=0.347
314,516510719924.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L2,phase=2; drop=0.474
183,516500992828.0,2025-05-01 00:00:00,intermittent_theft,2,CURRENT_L2,phase=2; drop=0.580
169,516500931830.0,2025-05-01 00:00:00,meter_defect_drift,1,"VOLTAGE_L1,VOLTAGE_L2,VOLTAGE_L3,CURRENT_L1,CURRENT_L2,CURRENT_L3,POWER_FACTOR_L1,POWER_FACTOR_L2,POWER_FACTOR_L3",factor=0.912
71,516500365870.0,2025-05-01 00:00:00,phase_loss,1,"VOLTAGE_L3,CURRENT_L3,ACTIVE_POWER_L3,REACTIVE_POWER_L3,APPARENT_POWER_L3",phase=3; residual=0.052
162,516500839440.0,2025-05-01 00:00:00,neutral_current_leakage,1,CURRENT_N,multiplier=2.972
218,516502196640.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L3,phase=3; drop=0.129
489,516532870242.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L1,phase=1
441,516530726165.0,2025-05-01 00:00:00,neutral_current_leakage,1,CURRENT_N,multiplier=2.091
227,516510030663.0,2025-05-01 00:00:00,voltage_imbalance,1,VOLTAGE_L1,phase=1; drop=0.110
412,516530345463.0,2025-05-01 00:00:00,pf_manipulation,1,POWER_FACTOR_L2,phase=2
178,516500973034.0,2025-05-01 00:00:00,current_bypass_theft,2,"CURRENT_L1,CURRENT_L2,CURRENT_L3",drop=0.734
330,516520039069.0,2025-05-01 00:00:00,neutral_current_leakage,1,CURRENT_N,multiplier=3.106
216,516502191091.0,2025-05-01 00:00:00,neutral_current_leakage,1,CURRENT_N,multiplier=3.549
496,516540150348.0,2025-05-01 00:00:00,meter_defect_drift,1,"VOLTAGE_L1,VOLTAGE_L2,VOLTAGE_L3,CURRENT_L1,CURRENT_L2,CURRENT_L3,POWER_FACTOR_L1,POWER_FACTOR_L2,POWER_FACTOR_L3",factor=1.060
